Player,Tm,POS,AGE,GP,MPG,MIN,USG,TO,FTA,FT,2PA,PP,3PA,PPP,eFG,TS,PPG,RPG,TRB,APG,AST,SPG,BPG,TOPG,VI,ORTG,DRTG
Delon Wright,SAC,SG,29.06,27,25.8,53.7,17.1,12.7,36,0.833,142,0.5,83,0.398,0.536,0.563,10,3.9,8.4,3.6,18.9,1.56,0.37,1.3,8.1,114.9,115.4
LaMarcus Aldridge,SAS,PF,35.83,21,25.9,54,22.7,7,37,0.838,173,0.509,75,0.36,0.518,0.545,13.7,4.5,9.2,1.7,10.2,0.38,0.86,0.95,7.3,107.3,110
Keita Bates-Diop,SAS,F,25.31,30,8.2,17,14.8,8.4,21,0.667,50,0.5,17,0.294,0.485,0.518,2.6,1.6,10.7,0.4,6.6,0.37,0.17,0.23,5.8,105.6,109.9
DeMar DeRozan,SAS,G-F,31.78,61,33.7,70.2,26.1,9.7,440,0.88,846,0.515,74,0.257,0.505,0.591,21.6,4.2,6.7,6.9,32,0.92,0.25,1.95,10.2,121.6,110.7
Gorgui Dieng,SAS,SG,31.33,16,11.3,23.6,18.1,13.2,24,0.833,33,0.667,22,0.318,0.591,0.648,5.3,2.6,12.3,1.2,14.9,0.56,0.13,0.63,9,125.2,103.7
Drew Eubanks,SAS,C,24.29,54,14,29.1,17.1,15.2,106,0.726,203,0.562,2,1,0.571,0.618,5.8,4.5,17,0.8,7.8,0.33,0.91,0.83,7.9,118.2,101.7
Rudy Gay,SAS,SF,34.75,63,21.5,44.9,23.6,8.8,102,0.804,350,0.451,278,0.381,0.505,0.532,11.4,4.8,11.9,1.4,9.7,0.73,0.63,1.03,7.9,103,105.5
Keldon Johnson,SAS,SF,21.6,69,28.5,59.4,19.2,9,196,0.74,524,0.531,181,0.331,0.522,0.557,12.8,6,11.1,1.8,8.9,0.58,0.35,1.13,7.3,110.5,108.5
Tre Jones,SAS,PG,21.35,37,7.3,15.1,16.1,13.1,19,0.895,73,0.466,5,0.6,0.494,0.544,2.5,0.6,4.2,1.1,20,0.22,0,0.35,6.5,111.8,113.6
Trey Lyles,SAS,C,25.53,23,15.6,32.4,12.9,5.7,23,0.652,50,0.58,40,0.35,0.556,0.574,5,3.7,12.8,0.6,5.3,0.26,0.04,0.26,5.7,115.5,111.2
Patty Mills,SAS,PG,32.76,68,24.8,51.6,18.4,9.1,78,0.91,182,0.5,430,0.374,0.543,0.569,10.8,1.7,3.7,2.4,13.5,0.6,0.04,0.96,5.7,110.7,113.7
Dejounte Murray,SAS,PG,24.66,67,31.9,66.5,23.4,10.2,134,0.791,775,0.488,199,0.317,0.485,0.509,15.7,7.1,11.8,5.4,25.9,1.51,0.1,1.75,10.6,105.5,107
Jakob Poeltl,SAS,C,25.59,69,26.7,55.7,13.4,14.8,124,0.508,430,0.616,0,0,0.616,0.612,8.6,7.9,15.8,1.9,10.1,0.68,1.78,1.22,7.6,123.1,105.3
Cameron Reynolds,SAS,SF,26.27,3,2.1,4.3,14,0,0,0,2,0.5,0,0,0.5,0.5,0.7,0,0,0,0,0,0,0,0,,
Luka Samanic,SAS,SF,21.35,33,9.3,19.5,19.4,14.5,29,0.552,62,0.565,43,0.279,0.505,0.518,3.7,2.1,11.7,0.5,6.9,0.24,0.24,0.61,6.8,96.4,100.6
Devin Vassell,SAS,SG,20.73,62,17,35.5,14.3,6.3,51,0.843,153,0.464,150,0.347,0.492,0.524,5.5,2.8,8.8,0.9,7.1,0.69,0.29,0.35,5.7,107.5,106.6
Lonnie Walker IV,SAS,SG,22.42,60,25.4,52.8,20.2,9.2,70,0.814,327,0.477,282,0.355,0.502,0.523,11.2,2.6,5.4,1.7,9.6,0.48,0.25,1.08,5.8,99.9,111.1
Quinndary Weatherspoon,SAS,SG,24.68,20,6.1,12.6,18.7,19.2,16,0.813,29,0.517,6,0.167,0.471,0.547,2.3,0.6,4.8,0.4,9,0.4,0.1,0.5,5.4,96.6,100
Derrick White,SAS,SG,26.87,36,29.5,61.6,22.4,8.2,114,0.851,210,0.486,243,0.346,0.503,0.55,15.4,3,5.4,3.5,17.4,0.72,1,1.25,7.4,110.6,108.7
OG Anunoby,TOR,PF,23.83,43,33.3,69.4,19.2,11.8,102,0.784,257,0.564,261,0.398,0.581,0.606,15.9,5.5,9.1,2.2,10.1,1.53,0.72,1.74,6.9,113.2,108.2
Aron Baynes,TOR,PF,34.44,53,18.5,38.5,16.2,12.5,41,0.707,200,0.535,103,0.262,0.487,0.505,6.1,5.2,15.3,0.9,7,0.3,0.43,0.87,6.6,103.8,103.3
DeAndre' Bembry,TOR,SF,26.87,51,19.1,39.7,14.6,21.6,66,0.682,175,0.589,53,0.264,0.544,0.57,5.7,2.9,8.3,2.1,15.5,1.04,0.35,1.39,6.8,104.1,106.8
Khem Birch,TOR,PF,28.63,19,30.4,63.3,15.8,9.9,44,0.636,140,0.614,31,0.29,0.582,0.596,11.9,7.5,13.6,1.9,9.4,0.89,1.16,1.11,7.3,122.4,108.5
Chris Boucher,TOR,PF,28.35,60,24.2,50.4,20.6,6.7,193,0.788,325,0.609,235,0.383,0.595,0.634,13.6,6.7,15.3,1.1,7,0.58,1.85,0.77,7.7,127.2,103.3
Terence Davis,TOR,SF,24,34,14.5,30.2,21.6,11.7,18,0.889,88,0.489,122,0.361,0.519,0.537,6.9,1.9,7.4,1.1,11.5,0.5,0.21,0.85,6.7,100.6,107.2
Henry Ellenson,TOR,C,24.34,2,19.2,40,17.7,0,4,0.75,5,0.6,9,0.222,0.429,0.476,7.5,6,17.2,2.5,18.7,0,0.5,0,10.1,120.5,95.9
Malachi Flynn,TOR,PG,23.02,47,19.7,41.1,19,10.5,56,0.804,173,0.422,168,0.321,0.452,0.483,7.5,2.5,6.9,2.9,21.4,0.83,0.15,0.91,7.7,102.9,109.5
Freddie Gillespie,TOR,PF,20,20,19.6,40.8,12.2,10.9,33,0.697,84,0.524,0,0,0.524,0.563,5.6,4.9,13.6,0.5,3.2,0.65,1.05,0.6,4.9,119.5,105
Jalen Harris,TOR,SG,22.76,13,13.2,27.6,22.6,15.6,9,0.778,36,0.528,36,0.472,0.618,0.632,7.4,1.4,5.8,1.3,16,0.62,0,1.08,7.2,109.9,108.5
Rodney Hood,TOR,PF,28.57,17,12.7,26.5,14.2,7,16,0.938,30,0.4,29,0.31,0.432,0.5,3.9,1.8,7.6,0.4,3.8,0.24,0.18,0.29,4.4,102.8,111.5
Stanley Johnson,TOR,SG,24.97,61,16.5,34.3,13.4,17.4,55,0.8,96,0.458,137,0.328,0.479,0.519,4.4,2.5,8.4,1.5,12,0.85,0.31,0.89,6.2,101.5,103.8
Alex Len,TOR,C,27.92,7,10.8,22.6,11.8,38.8,6,0.5,4,0.5,6,0.5,0.65,0.633,2.3,1.6,8,0.4,5.2,0.14,0.86,1.14,4.2,76.7,103.5
Kyle Lowry,TOR,PG,35.15,46,34.8,72.5,21.4,15.9,160,0.875,265,0.487,331,0.396,0.546,0.593,17.2,5.3,8.4,7.3,31.8,1.02,0.26,2.74,10,116.9,108
Patrick McCaw,TOR,PG,25.56,5,6.7,13.9,3,0,3,1,1,1,0,0,1,1.078,1,0.6,4.9,0.8,15,0.4,0,0,4.7,231.8,97.9
Pascal Siakam,TOR,C,27.12,56,35.8,74.6,26.4,10.6,301,0.827,715,0.509,246,0.297,0.493,0.547,21.4,7.2,11.1,4.5,20.5,1.14,0.68,2.32,9.9,110.6,107.4
Matt Thomas,TOR,PG,26.78,26,7.4,15.4,16,8.4,7,0.857,21,0.333,41,0.415,0.524,0.545,2.7,0.8,6,0.3,6.7,0.08,0,0.23,4.7,105.9,114.7
Gary Trent Jr.,TOR,SG,22.33,17,31.8,66.2,22.9,4.2,31,0.806,137,0.431,124,0.355,0.479,0.501,16.2,3.6,6.2,1.3,6.4,1.12,0.24,0.71,5.3,100.3,112.7
Fred VanVleet,TOR,PG,27.22,52,36.5,76.1,23.9,9.1,191,0.885,394,0.416,476,0.366,0.489,0.534,19.6,4.2,6.4,6.3,26.7,1.67,0.71,1.83,8.8,112.4,111
Yuta Watanabe,TOR,SF,26.59,50,14.5,30.1,12.7,9,29,0.828,90,0.478,90,0.4,0.539,0.565,4.4,3.2,12,0.8,7.7,0.52,0.4,0.38,6.2,116.4,107.6
Paul Watson,TOR,SG,26.38,27,11,22.9,13.8,9.5,8,0.625,18,0.444,64,0.469,0.646,0.649,4.1,1.7,8.3,0.6,8.2,0.19,0.11,0.33,5.9,120.3,104.9
Udoka Azubuike,UTA,C,21.66,15,3.8,7.9,12.4,18.3,10,0.8,9,0.444,0,0,0.444,0.597,1.1,0.9,12.1,0,0,0.07,0.27,0.2,0,,
Bojan Bogdanovic,UTA,SF,32.08,72,30.8,64.1,22.8,10.9,265,0.879,464,0.487,461,0.39,0.536,0.588,17,3.9,6.7,1.9,9.1,0.63,0.06,1.78,6.5,113.1,107.4
Jarrell Brantley,UTA,SF,24.94,28,4.9,10.3,19,13.1,2,1,24,0.542,28,0.429,0.596,0.605,2.3,1,10.4,0.5,16.1,0.25,0.07,0.29,8.6,119.8,97.3
Jordan Clarkson,UTA,SG,28.94,68,26.7,55.7,29.8,9.2,144,0.896,476,0.523,599,0.347,0.522,0.549,18.4,4,8,2.5,15.3,0.9,0.15,1.69,8.5,108.9,105.2
Mike Conley,UTA,PG,33.6,51,29.4,61.2,23.1,12.4,142,0.852,305,0.479,335,0.412,0.552,0.589,16.2,3.5,6.2,6,30.6,1.37,0.18,1.94,9.5,122.3,104.6
Derrick Favors,UTA,PF,29.84,68,15.3,31.8,13,11.5,80,0.738,241,0.643,2,0,0.638,0.663,5.4,5.5,19.2,0.6,6,0.47,1,0.53,6.8,136.6,94.2
Trent Forrest,UTA,SG,22.93,30,10.1,21,14.3,20.9,19,1,45,0.6,26,0.192,0.486,0.554,2.9,1.5,7.7,1.5,19.9,0.3,0.13,0.7,7.4,112.4,104.5
Rudy Gobert,UTA,C,28.89,71,30.8,64.2,17,13.7,374,0.623,575,0.68,4,0,0.675,0.683,14.3,13.5,23.3,1.3,6,0.56,2.68,1.66,8.2,129.9,99.1
Shaquille Harrison,UTA,PG,27.61,17,3.3,6.8,21.4,18.1,6,0.833,18,0.333,2,0,0.3,0.375,1,0.5,8.6,0.5,21.6,0.12,0,0.29,7.6,,
Elijah Hughes,UTA,SF,23.19,18,3.5,7.4,25.6,15.9,4,0.75,7,0.286,23,0.348,0.467,0.488,1.7,0.5,7.5,0.3,13.5,0.06,0.06,0.33,7.2,,
Ersan Ilyasova,UTA,SF,34.01,17,8.7,18.1,18.8,12.5,5,1,13,0.231,41,0.439,0.556,0.578,3.8,1.7,10.4,0.2,3.8,0.59,0.18,0.47,5,108.2,87.8
Joe Ingles,UTA,SF,33.62,67,27.9,58,16.6,16.3,90,0.844,156,0.59,406,0.451,0.652,0.672,12.1,3.6,6.9,4.7,24,0.67,0.18,1.75,8.4,128.2,105.6
Donovan Mitchell,UTA,SG,24.69,53,33.4,69.6,33.5,10.7,316,0.845,630,0.476,461,0.386,0.52,0.569,26.4,4.4,7,5.2,26.7,0.98,0.28,2.77,10.1,114.8,105.4
Juwan Morgan,UTA,PF,24.08,29,5.1,10.6,10.9,10.8,7,0.429,17,0.588,13,0.308,0.533,0.529,1.2,1,10.1,0.3,8,0.14,0.03,0.14,5.6,115.6,96.6
Georges Niang,UTA,SF,27.92,72,16,33.4,17.4,10.9,23,0.957,113,0.469,292,0.425,0.59,0.602,6.9,2.4,8.1,0.8,7.3,0.36,0.1,0.71,5.9,113.7,101.5
Royce O'Neale,UTA,PF,27.95,71,31.6,65.7,9.6,16.7,46,0.848,116,0.586,278,0.385,0.58,0.599,7,6.8,11.5,2.5,10.4,0.8,0.45,1.17,6.2,120,102.1
Miye Oni,UTA,SF,23.78,54,9.6,20,9.8,13.6,6,0.833,11,0.455,88,0.341,0.505,0.517,1.9,1.6,8.6,0.5,6.8,0.2,0.15,0.3,4.8,109.7,100
Matt Thomas,UTA,PG,26.78,19,7.1,14.7,24.4,10.5,7,0.857,26,0.615,39,0.256,0.477,0.499,3.6,1.2,9.1,0.5,11.2,0.11,0,0.42,7.3,99.8,106
Deni Avdija,WAS,SF,20.37,54,23.3,48.5,12,9,45,0.644,144,0.535,168,0.315,0.502,0.515,6.3,4.8,11,1.2,6.3,0.59,0.28,0.61,5.7,102.6,103.8
Bradley Beal,WAS,PG,27.89,60,35.8,74.5,34.1,10.6,459,0.889,1009,0.535,373,0.349,0.532,0.593,31.3,4.7,7,4.4,21.3,1.15,0.37,3.12,9.7,113.3,110.5
Jordan Bell,WAS,PF,26.36,5,13.4,28,14.2,13,0,0,18,0.389,2,0,0.35,0.35,2.8,3.8,15,1,9.4,0.6,0.6,0.6,6.6,85.6,106.3
Davis Bertans,WAS,PF,28.51,57,25.7,53.5,15.9,5.9,115,0.87,50,0.48,428,0.395,0.581,0.62,11.5,3,6.1,0.9,4.4,0.58,0.23,0.58,4.9,119.8,108.1
Isaac Bonga,WAS,PG,21.52,40,10.8,22.5,10.2,20.7,8,0.625,34,0.5,47,0.277,0.451,0.461,2,1.7,8.1,0.6,6.5,0.28,0.23,0.55,4.7,89.4,102.2
Troy Brown Jr.,WAS,SG,21.8,21,13.7,28.5,16.1,14.3,15,0.667,43,0.442,46,0.304,0.449,0.471,4.3,2.9,11.3,0.9,8.5,0.14,0.19,0.76,6.5,92.5,106.1
Thomas Bryant,WAS,C,23.8,10,27.1,56.4,17.2,9.8,24,0.667,70,0.714,21,0.429,0.698,0.704,14.3,6.1,11.9,1.5,8.2,0.4,0.8,1.1,7.5,131.1,104.9
Daniel Gafford,WAS,C,22.63,23,17.8,37,18.9,10.2,67,0.672,138,0.681,0,0,0.681,0.696,10.1,5.6,16.6,0.5,4.4,0.65,1.78,0.83,6.8,132.5,103.3
Anthony Gill,WAS,C,28.58,26,8.4,17.5,14.2,10.7,16,0.813,36,0.639,24,0.292,0.558,0.597,3.1,2,12.4,0.4,6.7,0.38,0.15,0.31,6.4,119.2,102
Rui Hachimura,WAS,PF,23.27,57,31.5,65.7,18.1,8.6,161,0.77,511,0.519,137,0.328,0.513,0.549,13.8,5.5,9.2,1.4,6.3,0.79,0.12,1.19,6,106.8,109.6
Chandler Hutchison,WAS,SG,25.06,18,15.7,32.7,16.1,13.6,23,0.826,66,0.409,19,0.368,0.441,0.494,5.2,3.2,10.9,0.7,6,0.61,0.28,0.83,5.8,93.2,105.8
Alex Len,WAS,C,27.92,57,15.8,33,16.7,12.9,110,0.636,249,0.647,19,0.263,0.629,0.643,7.1,4.4,14.6,0.8,7.2,0.33,1.02,0.82,7.4,121.2,102.1
Robin Lopez,WAS,C,33.12,71,19.1,39.7,17.1,13.4,137,0.723,406,0.65,18,0.278,0.64,0.663,9,3.8,10.6,0.8,5.9,0.21,0.62,1.06,6.3,123.7,110.2
Garrison Mathews,WAS,SG,24.56,64,16.2,33.8,11.5,3.5,95,0.884,39,0.538,198,0.384,0.57,0.635,5.5,1.4,4.4,0.4,3.1,0.45,0.11,0.16,3.6,129.4,107.7
Raul Neto,WAS,PG,28.99,64,21.9,45.7,15.9,9.9,85,0.882,283,0.512,164,0.39,0.539,0.575,8.7,2.4,5.9,2.3,14,1.14,0.09,0.83,6.6,114.7,108.2
Anzejs Pasecniks,WAS,C,25.41,1,6.3,13.1,39.4,83.3,0,0,0,0,1,0,0,0,0,1,8.4,1,17.8,0,0,5,0,20.7,88.8
Jerome Robinson,WAS,SG,24.23,17,17.9,37.4,16.7,15.5,20,0.8,53,0.321,42,0.262,0.353,0.4,4.9,2.2,6.6,1.5,10.2,0.71,0.35,1.12,5.7,80.3,106
Ish Smith,WAS,PG,32.86,44,21,43.7,15.8,11.6,33,0.576,248,0.448,49,0.367,0.465,0.473,6.7,3.4,8.6,3.9,24.7,0.73,0.3,0.93,8.5,105.1,109.1
Moritz Wagner,WAS,PF,24.06,25,15,31.3,18.3,12.7,52,0.788,80,0.613,42,0.31,0.561,0.614,7.1,2.9,10.3,1.3,11.7,0.88,0.32,0.84,8,116.4,97
Russell Westbrook,WAS,PG,32.51,65,36.4,75.9,30.3,18,413,0.656,965,0.475,273,0.315,0.474,0.509,22.2,11.5,16.8,11.7,48.6,1.35,0.35,4.8,15.8,104.1,104.3
Cassius Winston,WAS,PG,23.21,22,4.5,9.3,17.1,12.3,6,0.833,16,0.375,17,0.471,0.545,0.575,1.9,0.4,4.9,0.5,16.3,0.09,0.05,0.23,6.4,110.5,109.7
