Player,Tm,POS,AGE,GP,MPG,MIN,USG,TO,FTA,FT,2PA,PP,3PA,PPP,eFG,TS,PPG,RPG,TRB,APG,AST,SPG,BPG,TOPG,VI,ORTG,DRTG
Evan Fournier,ORL,SG,28.55,26,30.3,63,26.2,11.3,123,0.797,181,0.536,188,0.388,0.56,0.604,19.7,2.9,4.9,3.7,20.9,1.04,0.35,2.08,7.9,114,111
Robert Franks,ORL,PF,20,7,14.4,30,15.3,5.6,13,0.923,13,0.615,15,0.333,0.554,0.638,6.1,2,7.2,0.7,7.5,0.43,0.43,0.29,5.7,133,110.4
Markelle Fultz,ORL,PG,22.97,8,26.9,56,26.2,13.8,19,0.895,88,0.42,16,0.25,0.413,0.458,12.9,3.1,6,5.4,33.1,1,0.25,2.25,8.9,95.9,109.2
Aaron Gordon,ORL,PF,25.67,25,29.4,61.3,23.9,16.5,105,0.629,181,0.475,112,0.375,0.509,0.537,14.6,6.6,11.7,4.2,23,0.64,0.8,2.68,10.1,102.8,109.9
Donta Hall,ORL,PF,23.78,13,13.8,28.7,14,13.8,34,0.676,35,0.714,0,0,0.714,0.731,5.6,4.8,17.9,0.8,9.4,0.38,0.77,0.62,8.1,140.6,104.7
R.J. Hampton,ORL,SG,20.27,26,25.2,52.5,21.5,12.9,70,0.657,184,0.484,69,0.319,0.482,0.511,11.2,5,10.2,2.8,17.8,0.62,0.35,1.62,8.6,100.4,110.7
Gary Harris,ORL,SG,26.67,20,24.9,52,20.2,9.9,48,0.875,123,0.366,66,0.364,0.429,0.485,10.2,1.6,3.3,2.3,14.1,0.55,0.3,1.15,5.4,99.4,113
Karim Mane,ORL,SG,21,10,8.8,18.4,8.9,16.5,5,0.8,11,0.182,2,0.5,0.269,0.362,1.1,1.4,8.2,0.4,6,0,0.2,0.3,3.9,76.6,106.8
Frank Mason,ORL,PG,27.12,4,19.8,41.3,17.5,15.6,7,0.714,19,0.368,5,0.4,0.417,0.462,6.3,3,7.8,3,22.2,0,0,1.25,7.8,98.1,110.5
Chuma Okeke,ORL,PF,22.75,45,25.2,52.4,14.5,10,40,0.75,183,0.47,141,0.348,0.492,0.511,7.8,4,8.3,2.2,13.2,1.07,0.51,0.84,6.5,106.5,112.6
Otto Porter Jr.,ORL,SF,27.95,3,22.2,46.2,17.7,0,5,1,16,0.5,9,0.111,0.38,0.441,8,4.7,10.9,1.7,11.4,1.33,0,0,7.2,101.2,107.2
